Hotel De La Fleche D Or	3 etoiles. Review : 8.1. URL : http://www.easytobook.com/en/france/paris/paris/hotel-de-la-fleche-d-or/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	29 Rue D'Amsterdam 75008 Paris France	48.87850	2.32690	hotels
Carina Tour Eiffel Hotel	3 etoiles. Review : 8.3. URL : http://www.easytobook.com/en/france/paris/paris/carina-hotel/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	9 &#44  rue de Ginoux 75015 Paris France	48.84820	2.28680	hotels
Hotel Moderne Saint Germain	3 etoiles. Review : 8.3. URL : http://www.easytobook.com/en/france/paris/paris/hotel-moderne-st-germain/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	33 &#44  Rue Des Ecoles 75005 Paris France	48.84880	2.34790	hotels
Hidden Hotel	4 etoiles. Review : 9.3. URL : http://www.easytobook.com/en/france/paris/paris/hidden-hotel/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	28 rue de l'Arc de Triomphe 75017 Paris France	48.87760	2.29330	hotels
BLC Design Hotel	3 etoiles. Review : 8. URL : http://www.easytobook.com/en/france/paris/paris/blc-design-hotel/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	4 &#44  rue Richard Lenoir 75011 Paris France	48.85430	2.38260	hotels
Grand Hotel Saint Michel	4 etoiles. Review : 8.8. URL : http://www.easytobook.com/en/france/paris/paris/grand-hotel-saint-michel/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	19 rue Cujas 75005 Paris France	48.84780	2.34240	hotels
Hotel Moris Grands Boulevards	3 etoiles. Review : 8.2. URL : http://www.easytobook.com/en/france/paris/paris/hotel-moris/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	13 rue Rene Boulanger 75010 Paris France	48.86940	2.35740	hotels
Hotel Air Plus	3 etoiles. Review : 7.9. URL : http://www.easytobook.com/en/france/paris/paris/hotel-air-plus/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	58 &#44  voie Nouvelle 94310 Paris France	48.74660	2.39350	hotels
Jardins de Paris Montmartre	2 etoiles. Review : 7.9. URL : http://www.easytobook.com/en/france/paris/paris/hotel-jardins-de-montmartre/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	131 &#44  rue Ordener 75018 Paris France	48.89300	2.34110	hotels
Hotel de la Paix	3 etoiles. Review : 8.7. URL : http://www.easytobook.com/en/france/paris/paris/hotel-de-la-paix/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	43 rue duranton 75015 Paris France	48.83870	2.28870	hotels
Hotel Glasgow Monceau	3 etoiles. Review : 7.4. URL : http://www.easytobook.com/en/france/paris/paris/hotel-glasgow-monceau/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	3 &#44  Rue de la Felicite 75017 Paris France	48.88640	2.30930	hotels
Chat Noir Design Hotel	3 etoiles. Review : 8.7. URL : http://www.easytobook.com/en/france/paris/paris/le-chat-noir-design-hotel/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	68 &#44  Boulevard de Clichy 75018 Paris France	48.88350	2.33410	hotels
Standard Design Hotel	3 etoiles. Review : 8. URL : http://www.easytobook.com/en/france/paris/paris/standard-design-hotel/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	29 rue des Taillandiers 75011 Paris France	48.85540	2.37460	hotels
Only Suites Paris CDG	4 etoiles. Review : 8.4. URL : http://www.easytobook.com/en/france/paris/paris/only-suites-paris-cdg/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	9 &#44  allee du verger 95700 Paris France	49.00090	2.51960	hotels
Hotel Saint Germain	3 etoiles. Review : 7.9. URL : http://www.easytobook.com/en/france/paris/paris/hotel-saint-germain/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	88 &#44  rue du Bac 75007 Paris France	48.85460	2.32420	hotels
Hotel Duminy Vendome	3 etoiles. Review : 8.9. URL : http://www.easytobook.com/en/france/paris/paris/hotel-duminy-vendome/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	3/5 &#44  rue du Mont Thabor 75001 Paris France	48.86540	2.32940	hotels
Hotel De Neuve	3 etoiles. Review : 7.7. URL : http://www.easytobook.com/en/france/paris/paris/jardins-de-marais-bastille/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	14 Rue Neuve Saint Pierre 75004 Paris France	48.85390	2.36320	hotels
Hotel Gare du Nord	3 etoiles. Review : 8.4. URL : http://www.easytobook.com/en/france/paris/paris/quality-hotel-gare-du-nord/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	33 rue de Saint Quentin 75010 Paris France	48.87930	2.35580	hotels
Eurostars Panorama Hotel	3 etoiles. Review : 8.9. URL : http://www.easytobook.com/en/france/paris/paris/panorama-hotel/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	9 Rue des Messageries 75010 Paris France	48.87620	2.35020	hotels
